eng_dep_surp,zh_dep_surp,
4.630259,3.401777,-1.228482
3.2340305,4.2400384,1.0060079
4.684074,4.606926,-0.077148
4.6523833,6.4697857,1.8174024
5.7752028,2.342572,-3.4326308
2.8630898,5.0582786,2.1951888
5.9345765,6.146909,0.2123325
6.8533964,4.641493,-2.2119034
4.300277,3.498713,-0.801564
4.981269,3.5023882,-1.4788808
2.0861967,5.4948006,3.4086039
2.6402147,5.768536,3.1283213
5.2833657,6.1155834,0.8322177
4.0175524,5.296853,1.2793006
2.2404108,3.9911828,1.750772
3.0574253,5.2376013,2.180176
4.115542,3.7003727,-0.4151693
4.4334784,5.3421507,0.9086723
4.300277,5.768536,1.468259
2.8288295,4.107313,1.2784835
3.0675979,4.6307087,1.5631108
4.697758,5.9348183,1.2370603
2.9170341,5.741513,2.8244789
2.729534,2.1958067,-0.5337273
4.4334784,3.4189012,-1.0145772
4.0551915,4.107313,0.0521215
5.0336037,4.71522,-0.3183837
4.867193,5.828537,0.961344
3.2296307,5.549621,2.3199903
7.615088,6.1155834,-1.4995046
3.8198168,1.658982,-2.1608348
2.3193672,5.9818206,3.6624534
6.633834,5.874576,-0.759258
4.99862,5.047204,0.048584
4.50246,5.958043,1.455583
4.1268287,1.6762035,-2.4506252
3.928483,6.146909,2.218426
4.0659904,3.8678622,-0.1981282
4.2936397,5.748208,1.4545683
2.7127717,1.6022109,-1.1105608
5.9433455,6.228681,0.2853355
3.6063995,2.7428474,-0.8635521
3.7478285,4.1920004,0.4441719
6.8533964,4.1235642,-2.7298322
3.5606575,3.4189012,-0.1417563
4.793556,3.4189012,-1.3746548
3.5582306,6.1155834,2.5573528
6.657078,3.775039,-2.882039
3.7591515,4.938692,1.1795405
4.9894805,6.1155834,1.1261029
2.386279,2.10114,-0.285139
3.2532349,6.147399,2.8941641
3.5582306,6.1155834,2.5573528
2.9930096,5.958043,2.9650334
4.6208224,3.3621848,-1.2586376
2.909442,4.826582,1.91714
2.8872921,6.1990705,3.3117784
3.1553366,5.3421507,2.1868141
6.364901,5.955969,-0.408932
3.753338,5.6516542,1.8983162
4.769674,6.1155834,1.3459094
3.0714283,1.6022109,-1.4692174
4.456853,4.50291,0.046057
5.9345765,5.886589,-0.0479875
3.7478285,4.223816,0.4759875
4.769674,3.5305285,-1.2391455
3.534127,5.981033,2.446906
4.5424094,4.548044,0.0056346
2.386279,1.8081182,-0.5781608
3.6709857,4.7275476,1.0565619
4.0476675,5.981033,1.9333655
5.9345765,5.68717,-0.2474065
1.6429392,4.759579,3.1166398
0.40719667,3.5842779,3.17708123
5.0616355,6.1578684,1.0962329
5.6665645,0.835064,-4.8315005
2.8962245,6.4697857,3.5735612
2.5025635,5.0794287,2.5768652
3.4555185,5.3421507,1.8866322
3.842272,2.4226494,-1.4196226
4.697758,6.1990705,1.5013125
3.8469093,6.5526805,2.7057712
4.9775486,5.741513,0.7639644
2.912882,4.809182,1.8963
6.2776194,2.5328014,-3.744818
