eng_surp,zh_surp,
4.4763956,4.4676676,-0.008728
5.342226,2.0009315,-3.3412945
4.2896705,4.4676676,0.1779971
2.1681285,3.8522584,1.6841299
4.8137536,5.2088337,0.3950801
4.79319,4.8605194,0.0673294
5.840043,3.497618,-2.342425
5.471134,4.9487543,-0.5223797
3.6630464,3.5254197,-0.1376267
2.918483,1.6189569,-1.2995261
6.945077,1.6189569,-5.3261201
3.9970737,3.497618,-0.4994557
1.4044223,5.630717,4.2262947
2.554887,4.0344667,1.4795797
5.840043,5.50172,-0.338323
5.840043,3.497618,-2.342425
3.5921922,4.20795,0.6157578
5.840043,5.3656597,-0.4743833
3.753779,5.0596094,1.3058304
5.3793173,5.630717,0.2513997
5.711828,5.630717,-0.081111
6.945077,1.6189569,-5.3261201
1.4044223,2.0287743,0.624352
5.411621,4.4676676,-0.9439534
5.840043,3.497618,-2.342425
3.7019696,4.4676676,0.765698
4.6285834,1.6189569,-3.0096265
2.728928,3.497618,0.76869
1.4044223,3.0190659,1.6146436
1.4044223,2.0287743,0.624352
5.840043,1.6189569,-4.2210861
5.840043,3.497618,-2.342425
2.5248864,5.2088337,2.6839473
2.857458,2.0009315,-0.8565265
5.840043,2.7972376,-3.0428054
5.840043,3.497618,-2.342425
6.815943,2.0009315,-4.8150115
5.840043,3.9682677,-1.8717753
5.840043,3.497618,-2.342425
1.8430461,3.7482193,1.9051732
6.945077,2.6656568,-4.2794202
2.2074938,2.0287743,-0.1787195
2.1681285,4.9487543,2.7806258
5.840043,3.497618,-2.342425
6.945077,5.3656597,-1.5794173
3.7188442,5.50172,1.7828758
3.3338575,4.669745,1.3358875
3.2227793,5.630717,2.4079377
3.9484658,5.630717,1.6822512
3.7188442,5.630717,1.9118728
5.840043,4.62111,-1.218933
2.4591918,3.497618,1.0384262
2.4591918,5.2088337,2.7496419
2.2074938,4.7245216,2.5170278
2.2250817,5.50172,3.2766383
5.840043,3.497618,-2.342425
2.918483,1.6189569,-1.2995261
1.8430461,3.7482193,1.9051732
2.4984846,1.6189569,-0.8795277
2.1681285,4.4676676,2.2995391
2.4985485,1.6189569,-0.8795916
2.4984846,2.0009315,-0.4975531
5.840043,3.497618,-2.342425
2.8676784,5.2088337,2.3411553
4.4298234,2.0009315,-2.4288919
5.840043,3.497618,-2.342425
5.840043,5.3656597,-0.4743833
2.2250817,3.497618,1.2725363
5.9218626,4.787219,-1.1346436
4.9833293,5.630717,0.6473877
1.4044223,2.0009315,0.5965092
1.3666971,3.497618,2.1309209
2.1681285,2.0287743,-0.1393542
3.010745,5.50172,2.490975
1.4044223,4.9487543,3.544332
2.4985485,2.0009315,-0.497617
4.374003,5.630717,1.256714
5.840043,2.9538004,-2.8862426
1.4044223,2.0009315,0.5965092
6.945077,4.285574,-2.659503
5.840043,1.6189569,-4.2210861
1.8430461,4.8605194,3.0174733
2.7671049,2.7304764,-0.0366285
2.4984846,2.0287743,-0.4697103
2.2074938,2.0287743,-0.1787195
1.4044223,2.6377413,1.233319
1.3666971,4.1905336,2.8238365
2.0408018,3.6292984,1.5884966
4.7584906,4.5773764,-0.1811142
1.4044223,5.630717,4.2262947
5.840043,3.497618,-2.342425
4.5356784,1.7983218,-2.7373566
5.840043,3.497618,-2.342425
4.4911704,5.3656597,0.8744893
0.8140271,5.50172,4.6876929
4.8393927,4.2450304,-0.5943623
1.4044223,2.0009315,0.5965092
4.79319,4.2260942,-0.5670958
2.1681285,5.3656597,3.1975312
3.991511,2.7274618,-1.2640492
2.2074938,5.630717,3.4232232
1.4044223,5.630717,4.2262947
5.188303,2.0009315,-3.1873715
3.032883,2.7147827,-0.3181003
4.1286664,3.8933115,-0.2353549
5.471134,4.9487543,-0.5223797
3.109845,5.2088337,2.0989887
5.840043,5.0596094,-0.7804336
2.2074938,5.630717,3.4232232
5.840043,5.2088337,-0.6312093
2.1946468,4.058983,1.8643362
3.4221182,2.0009315,-1.4211867
2.1946468,3.9091623,1.7145155
0.8140271,4.3801584,3.5661313
3.9628398,5.630717,1.6678772
2.7974894,4.9487543,2.1512649
1.9052911,4.5012493,2.5959582
6.945077,1.6189569,-5.3261201
6.945077,2.0009315,-4.9441455
5.840043,5.3656597,-0.4743833
3.857846,5.50172,1.643874
6.945077,1.6189569,-5.3261201
2.2074938,2.0287743,-0.1787195
1.4044223,1.7983218,0.3938995
4.2896705,4.4676676,0.1779971
5.840043,3.497618,-2.342425
2.1946468,4.8605194,2.6658726
3.1033213,3.497618,0.3942967
1.4044223,2.7147827,1.3103604
1.4044223,5.630717,4.2262947
2.4985485,2.0009315,-0.497617
2.918483,1.6189569,-1.2995261
2.7389264,5.630717,2.8917906
2.7389264,2.343508,-0.3954184
2.1550725,5.3656597,3.2105872
2.7389264,2.7147827,-0.0241437
2.9881597,4.787219,1.7990593
2.4984846,3.497618,0.9991334
2.1946468,1.7531074,-0.4415394
5.840043,4.9487543,-0.8912887
5.840043,3.497618,-2.342425
2.728928,2.9658437,0.2369157
2.1681285,3.8933115,1.725183
5.840043,4.787219,-1.052824
3.032883,2.7147827,-0.3181003
6.945077,4.669745,-2.275332
2.2253556,2.0287743,-0.1965813
3.010745,4.20795,1.197205
2.2250817,5.630717,3.4056353
2.4457333,5.630717,3.1849837
6.483466,5.630717,-0.852749
6.3442974,5.630717,-0.7135804
2.2007825,2.9538004,0.7530179
5.840043,4.8605194,-0.9795236
1.7988532,5.3656597,3.5668065
3.1945426,3.497618,0.3030754
2.5248864,5.630717,3.1058306
3.5642424,3.141036,-0.4232064
2.918483,1.6189569,-1.2995261
2.2250817,3.9682677,1.743186
5.771221,3.497618,-2.273603
2.2250817,3.6638396,1.4387579
1.4044223,4.7245216,3.3200993
3.1738787,5.630717,2.4568383
5.840043,3.497618,-2.342425
3.991511,4.4676676,0.4761566
1.4044223,2.94112,1.5366977
2.7389264,2.0287743,-0.7101521
1.8430461,2.1462324,0.3031863
2.1681285,4.787219,2.6190905
1.4044223,2.0009315,0.5965092
5.342226,5.50172,0.159494
5.840043,3.497618,-2.342425
1.4044223,3.497618,2.0931957
5.840043,4.62111,-1.218933
1.4044223,2.0009315,0.5965092
4.8353395,2.0009315,-2.834408
2.4984846,2.9547913,0.4563067
2.0172307,2.0009315,-0.0162992
2.9501543,2.0287743,-0.92138
2.4984846,2.5225239,0.0240393
2.6304026,3.141036,0.5106334
2.5903785,2.9538004,0.3634219
2.1317222,2.0287743,-0.1029479
2.918483,2.1462324,-0.7722506
1.4044223,5.50172,4.0972977
5.840043,3.497618,-2.342425
1.555321,4.8605194,3.3051984
2.6304026,2.0009315,-0.6294711
3.109845,2.1462324,-0.9636126
1.4044223,5.2088337,3.8044114
1.4044223,3.497618,2.0931957
2.1681285,1.6189569,-0.5491716
3.101176,4.787219,1.686043
5.840043,2.0009315,-3.8391115
5.840043,2.967997,-2.872046
4.3474703,5.630717,1.2832467
2.918483,1.6189569,-1.2995261
4.3664193,1.6189569,-2.7474624
5.840043,4.8605194,-0.9795236
2.2754114,5.630717,3.3553056
2.7012267,5.50172,2.8004933
2.1681285,1.6189569,-0.5491716
3.060125,4.787219,1.727094
2.5248864,5.630717,3.1058306
2.1253185,3.141036,1.0157175
2.415916,2.7147827,0.2988667
2.415916,3.497618,1.081702
4.4437585,2.9547913,-1.4889672
3.010745,4.20795,1.197205
3.1781318,3.497618,0.3194862
2.4984846,2.5225239,0.0240393
5.4972258,5.50172,0.0044942
2.554887,3.9682677,1.4133807
2.2250817,2.7688878,0.5438061
2.2007825,2.7688878,0.5681053
4.773556,5.3656597,0.5921037
5.969387,3.497618,-2.471769
2.918483,1.6189569,-1.2995261
2.728928,2.9658437,0.2369157
2.4984846,2.9547913,0.4563067
5.532486,5.630717,0.098231
2.7974894,4.20795,1.4104606
2.1681285,5.630717,3.4625885
1.4044223,1.6189569,0.2145346
2.1681285,4.5773764,2.4092479
3.4221182,4.2260942,0.803976
2.1681285,2.0287743,-0.1393542
3.109845,2.0287743,-1.0810707
2.1681285,4.4676676,2.2995391
4.708323,2.0009315,-2.7073915
4.980773,5.3656597,0.3848867
2.927896,4.1243567,1.1964607
2.1681285,2.0287743,-0.1393542
2.6870956,4.787219,2.1001234
2.0172307,2.0009315,-0.0162992
4.6195135,4.62111,0.0015965
5.171985,2.7147827,-2.4572023
5.156258,2.0009315,-3.1553265
5.840043,3.497618,-2.342425
1.4044223,2.7688878,1.3644655
3.021549,4.5012493,1.4797003
2.918483,5.630717,2.712234
5.840043,2.9538004,-2.8862426
3.4221182,4.2260942,0.803976
5.5144987,5.2088337,-0.305665
2.5903785,4.4676676,1.8772891
5.840043,5.630717,-0.209326
2.7389264,5.630717,2.8917906
5.840043,3.497618,-2.342425
2.2250817,3.0190659,0.7939842
4.8865395,5.2088337,0.3222942
5.840043,3.497618,-2.342425
5.840043,2.9538004,-2.8862426
2.1681285,1.6189569,-0.5491716
1.4044223,3.497618,2.0931957
3.8191855,2.94112,-0.8780655
2.4591918,4.20795,1.7487582
3.4533527,4.4676676,1.0143149
2.6304026,2.0009315,-0.6294711
2.1681285,4.9487543,2.7806258
3.8039806,5.630717,1.8267364
5.840043,4.0442634,-1.7957796
3.1501498,3.9682677,0.8181179
2.4984846,4.4676676,1.969183
5.840043,4.011261,-1.828782
4.8861504,5.630717,0.7445666
5.840043,3.497618,-2.342425
2.1946468,5.2088337,3.0141869
1.4044223,3.497618,2.0931957
1.4044223,3.497618,2.0931957
6.945077,1.7983218,-5.1467552
2.1681285,5.50172,3.3335915
2.1681285,4.4676676,2.2995391
5.840043,3.497618,-2.342425
2.554887,3.9682677,1.4133807
2.2250817,2.7688878,0.5438061
1.4044223,2.7147827,1.3103604
4.9297295,5.2088337,0.2791042
2.7389264,5.630717,2.8917906
5.440359,3.230726,-2.209633
5.840043,3.497618,-2.342425
2.4984846,2.9547913,0.4563067
5.840043,3.497618,-2.342425
4.2448187,5.630717,1.3858983
6.3442974,5.630717,-0.7135804
2.4984846,5.3656597,2.8671751
2.1253185,4.0344667,1.9091482
5.840043,3.497618,-2.342425
4.2896705,5.630717,1.3410465
1.4044223,1.6189569,0.2145346
0.8140271,2.5700052,1.7559781
5.840043,3.497618,-2.342425
1.4044223,2.467316,1.0628937
