non_cs_sentences_surps,cs_sentences_before_cs_surp,cs_sentences_cs_back_surp,cs_sentences_after_cs_surp,sample_zhwiki_surp
7.0391965,7.1670523,4.430604,7.1598167,7.2327523
7.1598167,7.1670523,7.3514414,7.3514414,4.34258
6.572656,5.225617,6.5610642,7.1670523,6.5703545
5.726776,5.096284,7.3514414,6.2655845,7.1735477
6.893192,5.894431,7.3514414,5.3520465,6.8863854
3.0268083,5.762203,7.3514414,7.289942,3.0268083
7.3514414,4.549382,7.3514414,6.6978993,7.495277
6.2062354,8.746405,4.3535395,7.1807833,7.1807833
7.1807833,4.1759996,7.3514414,6.8726544,6.1604376
5.713045,6.9234123,7.3514414,7.1807833,4.6062064
4.26932,7.1807833,6.5610642,6.3968234,4.61148
3.2400136,5.225617,6.1282105,6.775018,3.9760242
7.1670523,7.2971773,5.096284,7.1807833,7.25042
7.1598167,7.1670523,7.0570436,7.1598167,4.7828836
6.6978993,4.9270983,5.320925,7.1807833,6.193398
4.1803713,7.3514414,7.0570436,7.3514414,3.4349155
5.329964,5.225617,7.0391965,4.9270983,6.7665
7.194034,7.2971773,7.3514414,7.1911974,6.572656
6.8726544,6.558925,6.953135,7.1670523,4.249358
7.1807833,7.1807833,7.3514414,4.2973504,5.0870066
7.1670523,7.1670523,7.3514414,7.3904843,4.4368253
7.1670523,5.225617,3.8516884,4.1897306,6.042162
4.1666403,5.7105103,7.3514414,7.344206,7.18509
6.94559,6.6080832,5.937234,7.1807833,4.1759996
7.1807833,7.3514414,7.3514414,7.1670523,5.0870066
7.1670523,5.580385,4.3535395,5.225617,4.9003644
3.0130775,7.208975,4.3535395,7.2971773,7.239988
7.3514414,5.594116,7.0391965,3.4168775,6.558925
4.328849,7.2162104,5.7636557,7.249384,5.577463
7.275574,7.1670523,5.320925,7.3514414,5.822254
5.580385,4.1759996,5.554334,7.1670523,6.2766395
7.208975,7.3514414,6.386715,5.096284,6.726691
5.594116,7.3514414,5.620258,6.872971,6.0279365
7.2162104,7.1670523,6.953135,7.1807833,6.702206
4.1759996,7.1670523,4.3535395,7.1670523,4.249358
7.21781,6.3825297,6.3906245,7.1598167,5.0870066
5.225617,6.7309637,7.3514414,7.1807833,1.8476702
7.2971773,7.1807833,5.0597463,7.1670523,7.8989525
4.1759996,6.6841683,5.320925,7.1670523,4.34258
5.969912,7.3514414,7.3514414,7.1670523,6.3147573
7.2262516,7.3514414,5.0304923,6.6841683,5.451741
5.969912,5.396708,7.344206,5.594116,7.2045093
7.3514414,7.237413,6.7433143,5.762203,5.628701
4.904821,5.713045,5.2655425,7.1875896,4.2227526
5.703848,7.1875896,4.3535395,6.119012,7.2105746
5.0407577,5.580385,7.3514414,6.8863854,6.6978993
4.8998055,1.3624244,7.3514414,6.399935,6.8863854
7.21781,7.242259,7.3514414,7.2787995,4.1803713
3.0130775,6.8726544,7.310274,3.4168775,4.067216
7.1735477,5.726776,6.5755897,5.662717,4.385237
3.0268083,7.0391965,7.3514414,5.762203,6.7926903
7.3514414,7.198451,7.0570436,7.1875896,5.3477836
6.119012,7.3514414,6.8685575,6.119012,4.2134566
6.132743,6.2062354,7.344206,7.1807833,7.21781
7.297524,7.1807833,7.344206,6.0142055,7.1598167
7.1670523,7.3514414,7.3514414,7.192674,6.6978993
7.1598167,7.1670523,7.3514414,6.3702464,6.8863854
4.1803713,7.1598167,7.344206,7.4515395,4.8536754
7.1598167,4.918552,7.3514414,7.1670523,4.26521
6.8863854,7.3514414,5.501432,6.8726544,7.239988
7.3095484,7.1598167,6.8685575,6.132743,4.456789
7.1670523,7.3514414,7.3514414,7.1735477,6.807124
3.0130775,4.1759996,7.3514414,7.1807833,2.1054025
4.51397,7.21781,6.041491,5.683073,7.235478
5.5010242,7.1670523,4.3535395,4.430604,7.1598167
7.0027795,7.1670523,6.51126,6.9562945,6.6978993
6.2199664,7.1598167,4.430604,7.1807833,4.8536754
4.1803713,6.6978993,7.344206,5.668829,4.26521
6.94559,5.239348,4.3535395,6.9196486,4.437929
7.302313,7.3514414,4.430604,7.1807833,6.9359703
5.388534,6.0142055,6.8685575,6.8726544,7.1735477
6.558925,6.7309637,7.344206,5.096284,7.1735477
3.0268083,7.1735477,7.3514414,7.481098,6.6978993
6.6841683,7.1807833,7.3514414,6.558925,4.587226
7.1807833,7.1598167,5.320925,7.3514414,4.61148
7.1670523,7.1807833,6.5610642,6.558925,3.9760242
6.558925,7.3514414,7.3514414,6.3962607,7.25042
4.1803713,7.1670523,7.3514414,7.1807833,7.1807833
6.1919475,7.1670523,7.3514414,7.1670523,5.516703
6.234123,4.408031,7.344206,6.6841683,7.183567
6.2199664,6.928529,7.3514414,4.1897306,7.1807833
7.1807833,5.594116,4.549382,7.21781,6.6841683
6.6841683,5.762203,5.77362,6.558925,6.0279365
7.1735477,7.1875896,7.344206,7.0391965,7.18509
7.1807833,4.1759996,6.0224166,7.198451,5.0362487
3.0130775,5.763803,6.953135,4.328849,4.9097238
7.3514414,7.310274,4.494424,6.8569107,6.9234123
7.1598167,7.198451,6.7433143,6.4932313,3.1555736
5.9435697,5.225617,7.3514414,6.0949264,7.3514414
5.3795176,7.3514414,7.3514414,7.2415667,5.3212767
7.274627,7.1670523,4.3535395,6.558925,4.215874
7.1807833,5.580385,3.9106045,5.320925,6.0649633
7.1670523,7.208975,6.207384,7.263266,6.702206
4.1666403,5.594116,7.3514414,5.580385,5.109607
6.757104,7.2162104,6.5610642,7.2162104,7.893541
7.1807833,5.580385,4.3535395,5.580385,6.4755635
7.1670523,7.2162104,7.3514414,7.2162104,6.3962607
7.1670523,5.580385,7.344206,7.1670523,5.1207576
3.0130775,7.2162104,7.3514414,6.953135,6.2144523
7.3514414,7.1670523,7.344206,7.290987,7.192674
7.1670523,7.1670523,7.310274,7.1670523,6.3825297
7.1670523,5.580385,7.3514414,5.225617,3.3036942
4.1666403,5.762203,6.5610642,7.2971773,8.200497
7.1670523,5.7335825,5.320925,3.4168775,7.1670523
4.1666403,3.8057806,5.5598955,7.2421484,7.1670523
6.6318607,7.344206,7.3514414,4.1897306,4.1666403
7.1807833,7.1735477,6.734556,6.9234123,5.8907514
4.947908,7.1807833,6.299195,4.34258,5.2459526
5.096284,5.580385,7.310274,7.3514414,5.9681525
3.4168775,4.239819,4.9559584,6.3825297,6.935489
7.249384,7.7323604,7.3514414,7.2138476,6.8266644
7.1670523,7.302313,6.566919,7.1670523,6.572656
4.1759996,6.2711697,5.096284,7.3514414,5.7020597
7.21781,7.196426,7.3514414,7.344206,4.2227526
6.2062354,4.1897306,7.3514414,6.8863854,6.734926
6.6978993,7.3514414,7.344206,6.8863854,7.2331753
3.0268083,5.881511,7.3514414,7.1807833,4.1803713
7.3514414,7.344206,5.096284,4.1759996,5.9779387
7.1670523,7.344206,6.5610642,7.3514414,4.208765
4.1666403,4.34258,5.096284,7.1670523,7.239988
7.239988,7.2683387,7.344206,5.580385,4.1759996
7.1670523,6.572656,4.3535395,5.762203,5.719587
4.2973504,7.1516843,7.3514414,7.1875896,6.6978993
6.436903,7.3514414,7.3514414,6.6841683,7.240411
7.1807833,4.1759996,7.3514414,7.1807833,5.235837
6.2062354,7.21781,4.430604,7.1670523,5.0419936
7.1807833,7.1598167,7.344206,7.1670523,5.713513
4.1759996,3.4306083,6.3906245,6.8726544,7.1807833
7.198451,6.954986,7.0570436,5.726776,7.1598167
4.1666403,7.1735477,7.344206,5.4817133,5.249568
7.239988,4.34258,6.195564,7.3514414,7.027424
7.1598167,4.6821074,6.3002,7.1670523,4.2091627
7.1735477,5.403466,7.310274,4.430604,5.6768074
7.1807833,7.2971773,7.3514414,6.9562945,5.6867065
4.1666403,7.1670523,3.5775623,7.1807833,7.1807833
6.6318607,6.8726544,7.3514414,7.3514414,7.1670523
6.946013,7.3514414,5.096284,7.1598167,5.235837
7.2550206,6.8726544,5.096284,6.572656,7.341153
7.1807833,4.4398465,3.5775623,7.3514414,5.659199
4.1666403,5.769229,7.3514414,7.1670523,7.183567
6.1919475,5.7565165,6.3702464,6.3825297,7.1807833
