,original_sentence,cs1_index,cs2_index,distance
355,house 状况 非常 好 ， 地板 地毯 都 是 两 年 新 ， 干净 整齐 漂亮 。,0,1,1
356,原价 ： 房租 一 共 是 $1350 ( 可以 给 你 看 我们 的 lease ) ， 三 间 房 其中 一 间 大 的 是 $490 ， 其他 两 间 都 是 $430 。,14,17,3
358,公寓 带 garage ， laundry ， 电梯 ， 公寓 每 周 都 有 人 来 打扫 公共 区域 ， 屋子 里 家具 都 有 ， 可以 拎包 入住 ， 家具 全部 免费 赠送 ！,2,6,4
359,floor plan 见 附件 。,0,2,2
360,公寓 信息 ： 三 个 卧室 每个 卧室 都 非常 宽敞 ， 还有 一 个 宽敞 的 dining room ， 也 被 改为 了 卧室 。,17,19,2
361,如果 你 是 女生 ， 并且 爱 干净 ， easy going ， 就 和 我 联系 吧 。,9,12,3
362,房屋 信息 ： 整 栋 房子 是 个 三 层 的 house ， 进去 以后 每 家 独立 。,5,13,8
363,一 个 bedroom 在 三 楼 （ 不 是 阁楼 那 种 ， 是 个 大 br ） 。,2,3,1
364,住户 一律 免费 停车 （ 露天 ） ， 只 需 找 经理 领 parking permit 即可 。,3,15,12
365,因 朋友 从 国内 过来 ， 想 寻 租 一 间 bedroom ， 仅 一 周 ， 01/02/2014~01/09/2014 。,11,13,2
366,lease 还 剩 一 个 月 .,0,1,1
367,就 在 craig 和 centre 交界 的 地方 。,4,3,1
368,我 室友人 很 好 ， 很 随和 大方 ， 不 斤斤计较 ， 特别 爱 干净 ， 从不 在家 吵闹 或者 开 party 之 类 的 .,21,25,4
370,apartment 为 一 年 半 前 新 建筑 ， 各 项 设施 十分 齐备 ， 居住 条件 佳 。,0,1,1
371,有时 dining room 碰到 了 ， 用 英文 聊 东 聊 西 的 ， 很 锻炼 口语 。,1,2,1
372,share 厨房 、 浴室 。,0,1,1
373,当然 你 想 签 lease 也 可以 ， 具体 可以 和 房东 商定 。,4,5,1
374,lease 到 七月 底 结束 。,0,1,1
375,两 层 的 house ， 现在 出租 三 间 卧室 其中 一 件 卧室 ， 价钱 400$ 每 月 ， 不 含 utilities .,3,5,2
376,living room 比 房间 大 ， 而且 有 一 个 很 大 的 窗户 ， 对面 就是 教堂 ， 风景 和 采光 都 是 一流 。,0,1,1
378,如果 半 年 一 付 房租 可 享受 5% off 的 优惠 。,8,9,1
380,我 是 通过 美国 朋友 找到 这个 house 的 ， 性价比 很 好 ， 人 也 不多 ， 如果 你 喜欢 这样 传统 干净 的 美国 house ， 可以 联系 我 。,7,8,1
382,house 一 楼 ， 独立 的 一 室 一 厅 一 厨 一 卫 格局 。,0,1,1
383,a 有 window ac 。,3,2,1
384,house 里面 地下室 washer dryer 免费 使用 。,0,1,1
385,house 里面 有 四 个 独立 卧室 。,0,1,1
386,house 的 一 个 bedroom 出租 ， 带 独立 的 full bathroom 。,0,1,1
387,有 queen size 的 床 和 书桌 。,1,4,3
388,留下 电话 、 email ， 以及 你 能 看 房 的 时间 。,3,5,2
389,位置 ： house 的 位置 如下 地图 ， 红色 为 house 的 位置 。,2,3,1
390,整 栋 house 共 有 四 个 卧室 。,2,3,1
391,请 注意 是 wilkins house 那个 set .,6,5,2
